,index,type,keep,description,notes
0,Id,int64,True,,
1,MSSubClass,int64,True,,
2,MSZoning,object,True,,
3,LotFrontage,float64,True,,
4,LotArea,int64,True,,
5,Street,object,True,,
6,Alley,object,True,,
7,LotShape,object,True,,
8,LandContour,object,True,,
9,Utilities,object,True,,
10,LotConfig,object,True,,
11,LandSlope,object,True,,
12,Neighborhood,object,True,,
13,Condition1,object,True,,
14,Condition2,object,True,,
15,BldgType,object,True,,
16,HouseStyle,object,True,,
17,OverallQual,int64,True,,
18,OverallCond,int64,True,,
19,YearBuilt,int64,True,,
20,YearRemodAdd,int64,True,,
21,RoofStyle,object,True,,
22,RoofMatl,object,True,,
23,Exterior1st,object,True,,
24,Exterior2nd,object,True,,
25,MasVnrType,object,True,,
26,MasVnrArea,float64,True,,
27,ExterQual,object,True,,
28,ExterCond,object,True,,
29,Foundation,object,True,,
30,BsmtQual,object,True,,
31,BsmtCond,object,True,,
32,BsmtExposure,object,True,,
33,BsmtFinType1,object,True,,
34,BsmtFinSF1,int64,True,,
35,BsmtFinType2,object,True,,
36,BsmtFinSF2,int64,True,,
37,BsmtUnfSF,int64,True,,
38,TotalBsmtSF,int64,True,,
39,Heating,object,True,,
40,HeatingQC,object,True,,
41,CentralAir,object,True,,
42,Electrical,object,True,,
43,1stFlrSF,int64,True,,
44,2ndFlrSF,int64,True,,
45,LowQualFinSF,int64,True,,
46,GrLivArea,int64,True,,
47,BsmtFullBath,int64,True,,
48,BsmtHalfBath,int64,True,,
49,FullBath,int64,True,,
50,HalfBath,int64,True,,
51,BedroomAbvGr,int64,True,,
52,KitchenAbvGr,int64,True,,
53,KitchenQual,object,True,,
54,TotRmsAbvGrd,int64,True,,
55,Functional,object,True,,
56,Fireplaces,int64,True,,
57,FireplaceQu,object,True,,
58,GarageType,object,True,,
59,GarageYrBlt,float64,True,,
60,GarageFinish,object,True,,
61,GarageCars,int64,True,,
62,GarageArea,int64,True,,
63,GarageQual,object,True,,
64,GarageCond,object,True,,
65,PavedDrive,object,True,,
66,WoodDeckSF,int64,True,,
67,OpenPorchSF,int64,True,,
68,EnclosedPorch,int64,True,,
69,3SsnPorch,int64,True,,
70,ScreenPorch,int64,True,,
71,PoolArea,int64,True,,
72,PoolQC,object,True,,
73,Fence,object,True,,
74,MiscFeature,object,True,,
75,MiscVal,int64,True,,
76,MoSold,int64,True,,
77,YrSold,int64,True,,
78,SaleType,object,True,,
79,SaleCondition,object,True,,
80,SalePrice,int64,True,,
